nItems,insert_time,searching_time
50000,2.910115,0.075059
100000,6.463497,0.226015
150000,10.898482,0.397778
200000,12.886983,0.436953
250000,17.847721,0.552013
300000,25.252489,0.776718
350000,29.278467,0.816352
400000,30.592829,0.960137
450000,35.069612,0.914339
500000,39.263002,1.450920
550000,40.952490,1.401353
600000,48.176143,1.628033
650000,53.208489,1.807725
700000,53.594440,1.619864
750000,59.057107,1.909174
800000,60.859699,2.166095
850000,83.584068,5.643182
900000,107.967373,5.607958
