nItems,ins_time,search_time,sky_time
50000,1.39206,0.191362,0.0032655
100000,2.91953,0.202743,0.00397955
150000,4.73367,0.205876,0.00496468
200000,6.1678,0.213138,0.00419
250000,8.09793,0.212499,0.00411205
300000,10.0095,0.222562,0.00463573
350000,12.0397,0.22877,0.0047893
400000,14.0053,0.232379,0.00500179
450000,15.2347,0.231686,0.00576414
500000,17.2968,0.23836,0.00473956
550000,19.7563,0.246618,0.00550222
600000,21.4995,0.247312,0.0055513
650000,23.9427,0.268321,0.00729494
700000,25.1667,0.264377,0.006523
750000,27.1485,0.270243,0.00617794
800000,28.927,0.28162,0.00802857
850000,31.7547,1.32232,0.0567129
900000,34.3862,1.01369,0.0107262
