X,Y
96,196
69,110
143,143
194,199
182,184
62,148
109,130
9,183
145,196
199,199
131,181
171,191
21,27
34,191
26,189
192,192
146,167
182,187
191,194
197,197
88,90
137,192
29,49
132,196
89,98
2,120
113,139
34,160
108,176
94,187
149,153
43,171
91,117
74,189
98,172
63,178
96,119
32,173
0,192
119,153
96,136
101,172
188,189
115,147
182,183
181,197
10,171
144,195
9,60
22,189
34,197
123,169
3,150
150,187
75,170
0,175
118,123
76,169
137,195
21,24
74,152
35,36
140,152
165,182
21,194
171,174
138,159
177,183
67,158
192,192
123,163
37,101
39,61
187,188
44,193
30,193
27,186
39,141
155,182
191,194
151,163
52,113
71,187
130,137
87,126
76,156
2,69
181,194
82,139
100,179
116,143
7,170
21,193
161,173
87,152
40,40
40,182
176,188
177,193
17,152
176,182
48,172
44,116
165,179
105,146
5,110
182,197
181,199
40,93
87,111
145,182
122,166
19,57
22,56
107,164
4,193
189,195
58,67
83,105
126,140
174,176
93,158
63,67
97,192
187,198
30,144
89,172
199,199
50,62
98,196
89,195
179,186
175,188
89,182
189,192
16,32
59,190
12,61
40,99
104,129
40,78
4,96
140,182
153,190
72,74
189,191
74,176
140,181
25,114
79,192
29,178
53,62
158,192
21,24
76,136
198,198
135,172
159,169
139,143
166,189
77,164
66,169
50,119
161,187
97,116
46,141
6,152
127,141
114,151
56,175
2,195
133,169
79,187
144,193
145,164
0,149
50,124
74,157
196,197
66,150
161,187
80,166
59,190
5,146
132,187
147,163
36,96
193,193
30,182
128,136
66,121
91,128
174,178
62,131
72,107
105,166
56,88
58,61
112,141
181,188
77,114
98,132
156,181
25,80
79,84
0,4
116,178
125,176
195,196
82,137
35,155
167,176
185,187
180,199
68,161
22,125
153,191
71,111
75,186
147,148
39,57
112,161
25,166
105,198
192,198
16,68
144,192
26,101
76,120
36,169
139,162
50,197
126,153
89,141
59,158
82,116
67,138
116,176
15,188
43,68
20,47
97,154
74,106
10,92
168,196
58,73
190,194
120,163
2,177
163,164
191,192
57,197
77,83
128,130
173,197
44,130
14,157
13,39
96,149
94,119
44,48
92,139
120,143
44,52
106,190
121,155
105,154
115,128
117,152
109,159
169,169
117,144
133,198
0,85
96,130
67,104
10,102
107,160
105,105
53,111
12,187
188,199
124,199
59,180
175,178
35,46
195,199
194,199
139,147
32,59
147,160
39,121
56,190
191,193
46,147
26,30
75,189
33,108
10,45
2,45
61,159
142,162
14,88
113,150
80,162
44,80
39,159
114,193
103,160
150,189
160,165
191,194
165,185
78,89
137,159
28,107
74,131
189,191
134,164
153,197
153,179
122,147
112,117
129,174
132,183
132,174
50,170
38,168
52,161
93,147
168,186
76,185
77,159
83,87
132,167
150,181
145,167
96,101
184,189
147,172
72,88
140,150
84,154
68,138
37,146
46,172
20,159
34,90
10,124
31,34
113,180
142,146
185,190
39,72
9,25
35,178
173,189
174,191
186,197
2,116
158,197
40,80
50,173
22,89
166,184
163,166
108,151
137,188
69,96
83,156
92,116
161,190
194,194
126,139
78,182
160,186
146,183
136,190
99,123
198,198
148,188
21,139
118,164
164,164
100,138
151,162
30,80
86,145
142,142
137,168
199,199
160,174
42,42
48,177
52,90
85,167
155,167
134,177
137,162
197,197
17,172
164,193
124,170
1,110
150,159
88,197
43,146
119,134
104,169
177,184
10,195
157,191
168,186
94,176
8,173
101,163
4,183
18,127
52,162
34,58
85,107
98,191
87,90
78,84
180,196
191,197
186,194
2,166
15,63
160,165
176,179
114,121
124,157
178,178
163,193
83,166
29,52
144,157
21,100
84,195
34,87
2,94
121,174
27,94
112,160
192,199
41,144
151,180
168,177
9,167
143,165
79,105
4,139
47,120
47,118
129,168
190,198
124,181
154,156
177,192
54,66
62,154
56,95
65,78
137,167
32,132
79,105
143,178
133,189
100,102
63,142
5,197
49,58
157,170
161,176
39,116
18,60
10,139
182,193
147,165
44,138
135,150
42,138
125,173
172,197
49,183
187,198
160,187
187,192
141,199
62,187
64,149
65,65
12,45
87,87
51,113
60,180
71,196
163,178
145,147
176,190
106,174
60,61
118,132
69,140
85,158
32,126
33,88
185,193
106,143
170,195
151,161
9,172
5,189
178,194
20,127
69,179
148,183
148,159
80,107
85,156
69,142
146,182
173,187
56,92
85,182
23,122
43,194
182,188
19,135
10,40
168,193
197,199
94,112
160,196
109,191
8,84
71,174
78,146
33,87
196,197
111,123
1,149
2,189
59,193
198,199
16,54
168,176
83,96
100,151
49,179
145,145
134,145
120,144
87,153
125,133
182,192
48,171
66,100
94,170
133,177
109,121
66,105
170,180
45,88
146,176
9,11
176,196
86,126
164,196
135,166
1,156
100,107
138,163
154,191
162,184
107,185
53,137
69,139
115,163
80,127
176,194
7,115
97,143
198,199
148,177
149,179
62,171
63,74
43,43
119,124
176,177
21,178
57,156
144,194
49,66
194,196
45,113
78,166
94,133
12,81
149,170
195,198
148,171
105,110
57,78
23,41
121,176
104,148
28,121
54,111
70,98
127,189
77,125
44,180
157,192
183,197
20,58
138,173
125,196
0,101
97,178
143,199
96,164
98,154
85,187
2,99
153,168
141,184
51,131
194,195
147,199
62,125
126,153
97,157
144,160
83,155
29,174
135,138
25,161
52,74
84,151
47,55
7,180
89,159
30,102
92,150
113,167
109,114
177,194
148,196
48,147
100,147
82,142
89,137
45,195
171,182
44,62
44,54
42,42
143,146
179,194
117,153
9,143
129,168
70,195
116,150
47,56
157,170
41,149
86,163
75,98
74,85
44,146
185,194
166,174
13,112
98,184
130,181
95,116
146,150
71,87
81,135
182,199
26,123
33,38
89,112
159,181
98,125
73,107
71,75
113,159
17,196
138,169
98,107
60,192
121,158
50,194
60,70
0,46
163,185
152,182
139,177
171,194
21,51
11,91
150,193
19,143
178,186
104,167
