data_count,build_time,query_time
1000,0.000110607,0.000204433
2000,0.000227006,0.000371947
3000,0.00036285,0.000675005
4000,0.000469801,0.000982852
5000,0.000598862,0.00135696
6000,0.0008111,0.00184617
7000,0.000843161,0.00210905
8000,0.000980298,0.00263459
9000,0.00109608,0.00309786
10000,0.00123782,0.00341985
11000,0.00135408,0.00388842
12000,0.00149828,0.00415767
13000,0.00164115,0.00445324
14000,0.00181471,0.00491261
15000,0.00198482,0.00536943
16000,0.00216615,0.00561966
17000,0.00222457,0.00583075
18000,0.00240119,0.00622397
19000,0.00327119,0.00763996
20000,0.00273576,0.00702786
