data_rows,build-time,adding-time,summing-time
50000,0.000880051,9e-08,1.5e-07
100000,0.00155436,9e-08,1.41e-07
150000,0.00312445,9e-08,1.3e-07
200000,0.00390033,1.61e-07,1.5e-07
250000,0.0044909,1.4e-07,1.4e-07
300000,0.00613887,1.8e-07,1.31e-07
350000,0.00636896,9e-08,1.01e-07
400000,0.00694805,9e-08,1.5e-07
450000,0.00781025,3.11e-07,1.1e-07
500000,0.0084983,4.81e-07,1.5e-07
550000,0.0119477,9e-08,1.31e-07
600000,0.0117616,1e-07,1.3e-07
650000,0.012569,2.71e-07,1.3e-07
700000,0.0126946,1e-07,1e-07
750000,0.0128461,5.01e-07,1.3e-07
800000,0.0131517,1.7e-07,1.6e-07
850000,0.0137971,3.91e-07,1.6e-07
900000,0.014534,1e-07,1e-07
