X,Y
106,17
105,189
0,131
183,9
142,96
81,89
148,186
199,150
56,52
46,27
75,24
199,12
192,121
8,189
131,83
27,32
177,102
134,196
162,176
7,180
151,69
103,192
129,53
144,68
101,190
144,3
49,164
40,171
156,143
141,156
117,126
151,48
184,53
170,12
159,144
99,167
180,95
94,127
72,5
22,20
35,20
122,79
56,56
147,46
101,114
159,129
159,47
103,25
114,137
9,148
184,127
167,87
173,43
41,2
11,26
119,184
12,40
22,128
118,65
44,0
168,140
95,66
144,58
136,24
153,12
122,106
49,82
73,126
133,196
137,88
56,89
152,89
13,24
184,44
40,38
161,11
157,90
118,14
182,73
118,164
114,191
97,14
91,47
136,132
151,132
4,72
163,89
189,26
143,96
95,170
47,197
143,177
21,182
102,180
98,111
21,103
22,99
14,179
189,83
133,99
14,17
147,9
159,10
2,21
56,15
31,186
108,26
112,48
155,88
137,137
7,118
179,145
109,120
39,196
158,159
52,184
172,26
167,132
162,98
25,145
46,12
161,180
106,7
106,146
109,157
93,11
124,178
163,49
72,146
86,156
88,21
162,28
96,24
50,157
3,125
35,22
96,111
183,185
73,109
138,101
137,190
180,103
193,146
106,34
170,83
25,111
44,185
116,86
11,195
37,68
57,62
138,142
193,61
3,94
31,85
144,150
171,96
120,19
138,46
112,27
122,5
81,11
61,51
95,81
170,73
104,25
62,61
192,65
123,128
0,16
173,176
60,6
189,51
187,76
79,128
139,13
48,66
157,163
108,168
23,178
82,49
133,168
102,80
10,54
171,67
33,53
148,114
181,118
76,131
109,173
104,110
28,96
137,0
42,50
175,187
58,16
137,53
199,106
87,2
130,123
184,150
78,25
140,128
32,116
55,197
22,190
14,24
120,141
11,92
107,158
75,170
193,70
91,41
90,6
156,197
81,150
184,123
37,34
0,63
21,75
105,68
173,19
73,50
133,93
108,149
150,95
132,188
62,58
106,31
90,137
92,136
30,169
84,185
147,162
75,133
75,113
7,43
59,184
19,88
180,137
65,125
77,188
15,188
119,187
157,164
29,127
133,179
147,192
105,193
160,67
70,10
176,88
19,126
104,20
137,42
119,138
0,35
164,135
46,64
179,193
114,40
73,77
141,105
121,23
90,134
139,185
95,67
25,49
68,32
169,82
23,151
18,106
54,120
198,81
115,53
137,104
56,122
182,78
113,192
199,59
177,133
67,197
104,161
93,84
147,56
195,168
147,61
143,2
9,16
133,170
162,40
165,49
55,192
127,171
119,46
178,188
57,184
46,189
166,102
89,180
166,187
73,75
36,72
45,12
185,73
154,28
118,99
1,48
199,85
132,59
115,126
23,93
153,4
23,106
148,56
152,141
51,127
60,140
82,53
93,4
99,32
79,105
146,135
143,84
158,171
38,135
116,112
92,15
60,63
16,196
63,143
26,152
183,93
111,55
125,64
169,177
32,101
80,185
21,18
104,42
71,110
23,91
15,76
183,147
48,167
29,133
48,55
172,158
165,86
59,35
146,38
182,140
31,128
194,32
180,54
196,152
74,194
37,129
115,91
67,175
92,90
6,89
30,48
91,81
35,71
148,120
5,123
154,32
175,187
128,154
153,89
145,166
6,157
38,37
154,68
163,149
93,128
3,99
81,181
142,176
97,110
43,102
95,26
100,42
39,36
38,61
149,36
142,134
7,57
193,197
33,147
178,96
171,125
92,100
101,46
1,146
196,174
155,150
58,105
123,150
152,122
181,90
194,60
156,11
9,67
27,70
38,184
63,110
163,194
28,8
22,113
183,44
19,164
77,120
191,49
69,136
69,19
170,161
45,97
125,47
164,44
26,13
164,125
113,162
182,1
3,38
108,78
65,96
68,47
24,65
166,29
54,84
72,61
6,2
161,45
131,113
5,55
103,109
89,9
31,30
53,163
152,75
169,11
3,110
149,9
54,185
74,59
171,140
179,180
150,185
98,117
52,128
29,66
86,135
51,140
126,89
18,60
47,30
174,132
3,37
72,66
177,61
47,65
130,85
171,19
70,6
35,185
72,193
95,119
62,138
104,159
100,30
0,151
27,125
5,24
107,43
41,144
91,56
12,182
65,89
154,1
83,61
26,77
21,15
15,131
172,118
58,183
154,199
173,145
50,38
80,198
123,5
159,60
151,116
108,87
150,175
106,73
199,123
193,5
63,105
18,30
12,87
118,36
68,37
36,38
120,37
104,127
7,140
118,70
60,106
111,119
17,162
8,171
130,32
77,110
50,171
3,183
59,59
26,54
135,23
39,141
4,110
56,124
6,73
191,162
4,36
33,121
199,22
71,174
27,2
5,15
11,134
37,54
5,76
46,119
189,148
160,27
165,59
143,140
72,35
117,126
158,170
161,185
163,117
179,183
94,103
161,17
167,13
148,89
154,75
178,59
96,122
38,20
93,162
97,96
147,173
67,157
172,179
72,132
44,112
89,45
26,108
196,49
164,11
86,28
66,74
44,55
101,114
168,27
8,113
48,177
61,164
11,50
82,1
70,98
99,92
134,117
36,149
134,87
144,112
154,56
34,68
109,38
51,8
134,18
55,4
167,137
190,0
37,96
71,96
169,81
76,55
161,55
86,156
58,127
21,53
173,0
73,93
77,168
67,51
177,161
197,12
148,105
90,172
165,11
100,83
178,173
19,161
132,119
128,161
53,20
57,155
105,170
120,157
133,151
141,63
64,199
120,146
32,179
141,156
180,179
21,188
151,123
56,133
53,153
145,188
180,147
86,50
97,124
33,42
169,3
17,1
75,128
165,29
134,8
58,108
137,45
100,16
0,141
88,130
168,179
1,66
56,146
147,23
17,92
174,97
161,136
164,194
135,61
190,194
151,169
115,140
147,152
95,199
22,191
54,50
142,55
34,24
81,103
85,76
147,191
194,4
148,187
51,168
44,7
51,96
121,193
179,177
86,187
22,55
14,33
153,107
111,61
45,97
98,124
188,48
193,66
124,165
176,25
162,181
20,174
106,175
111,161
64,147
50,155
96,112
9,97
181,66
31,104
162,176
68,79
121,143
139,97
10,28
88,100
89,123
94,125
116,161
126,42
176,46
177,130
177,32
29,8
145,7
2,107
12,186
16,113
160,184
137,108
119,127
184,154
88,165
151,31
63,73
22,17
90,30
105,175
85,61
67,89
113,133
118,138
193,191
188,100
16,82
88,188
9,22
101,69
42,36
46,27
87,95
141,117
17,39
192,185
20,2
15,174
12,85
88,111
129,19
119,21
77,183
107,149
55,159
178,65
135,136
63,109
3,33
5,150
39,134
47,64
91,136
36,16
187,7
137,40
142,4
6,60
89,15
99,84
171,192
138,149
114,195
1,151
57,19
98,124
125,108
82,19
132,71
110,61
136,2
164,128
142,18
78,18
115,50
124,108
65,145
73,132
55,33
54,3
62,178
144,162
53,56
7,108
86,26
65,164
171,147
91,122
70,87
53,166
86,184
100,31
40,124
60,31
7,22
103,142
195,112
93,6
107,159
132,189
136,92
118,162
88,121
133,110
147,81
77,73
126,160
121,72
158,174
16,185
40,24
61,99
25,94
104,71
85,66
39,151
13,68
67,79
187,139
73,117
52,54
127,22
74,93
2,109
123,145
116,68
56,22
92,106
83,174
17,13
197,188
120,98
194,173
157,2
196,63
93,152
89,106
117,105
192,72
37,183
83,15
54,172
99,13
80,115
106,81
9,32
125,198
181,59
186,72
58,119
110,32
73,58
140,159
103,11
138,136
83,162
189,178
72,145
174,89
120,93
166,77
34,162
147,139
137,102
74,137
153,82
158,31
190,18
35,38
36,3
86,80
84,86
25,58
132,14
77,73
158,192
182,190
126,54
170,132
119,151
182,108
103,182
22,92
99,135
187,193
193,39
151,56
186,65
13,77
121,166
5,56
145,90
23,152
0,113
180,122
24,50
37,64
52,11
38,112
131,114
111,56
6,12
18,188
95,57
101,105
139,169
190,158
167,125
136,132
81,108
36,185
55,196
187,80
141,111
64,17
199,40
79,28
197,6
61,35
184,36
56,31
102,8
180,76
50,167
61,105
165,42
85,171
195,159
52,25
114,34
161,23
175,79
0,56
119,194
138,77
198,165
26,122
139,107
74,65
16,99
72,93
177,184
94,167
77,12
3,9
163,74
12,152
180,86
60,12
28,64
179,37
162,42
92,12
57,198
14,3
24,43
101,145
74,57
43,4
12,12
145,58
43,76
59,39
168,75
129,35
136,110
131,92
192,4
158,21
102,34
39,116
181,135
164,130
153,165
129,129
97,175
49,176
93,42
62,179
21,100
161,152
90,60
64,166
7,122
14,153
13,38
131,182
38,152
7,29
167,93
119,180
24,88
33,3
137,170
117,177
188,181
114,68
151,26
179,186
179,15
73,21
199,47
118,101
172,61
173,41
25,13
162,141
67,52
117,92
82,149
88,156
176,66
111,185
39,98
196,88
125,131
53,39
1,173
20,167
44,0
70,88
136,80
52,49
163,76
110,176
69,58
110,70
181,102
33,65
71,190
164,196
116,39
67,63
5,155
101,91
158,113
30,62
103,120
21,138
192,22
54,113
160,0
157,102
55,154
59,61
104,78
83,145
83,106
28,79
15,22
132,179
197,178
178,51
91,147
58,101
107,89
87,34
141,91
165,13
162,115
0,32
1,28
176,186
176,35
177,20
93,183
61,186
77,104
95,172
149,104
135,116
157,108
112,90
148,134
34,27
74,56
129,175
109,171
167,180
21,68
93,72
158,118
172,73
179,100
160,34
151,164
192,130
167,144
91,37
18,25
70,105
48,12
77,8
153,101
89,130
53,141
14,94
8,107
89,196
134,16
179,164
42,150
65,146
137,94
150,53
2,123
102,98
56,57
118,116
186,153
115,166
67,61
48,9
180,78
174,34
160,12
189,17
91,113
165,6
162,2
49,9
162,52
113,147
146,179
110,49
11,105
66,101
99,101
142,40
41,143
194,17
56,135
6,155
27,175
97,73
8,102
182,148
51,146
62,65
98,145
133,42
8,46
174,175
97,182
11,109
73,87
103,116
89,134
134,154
171,109
185,142
38,1
167,194
82,83
158,161
21,121
186,174
153,103
151,12
99,71
89,0
132,10
159,161
98,92
159,41
2,59
157,87
35,9
158,82
89,115
37,40
116,51
44,183
110,42
31,102
95,180
102,68
131,65
133,91
14,38
161,179
178,160
97,180
5,118
51,130
146,184
115,165
127,180
198,70
1,22
82,110
175,84
7,130
56,177
136,18
24,162
137,31
136,138
196,132
126,111
140,103
32,195
88,16
144,100
19,129
132,195
111,180
66,34
157,42
179,172
82,199
43,131
47,113
76,153
83,21
190,169
127,111
160,68
115,138
74,195
167,84
55,176
179,76
162,185
4,21
153,66
196,144
52,172
60,192
173,99
8,74
156,16
114,48
163,160
44,101
193,149
166,18
69,19
83,195
165,17
174,77
59,122
72,174
83,50
91,1
112,167
193,158
137,153
116,107
88,183
77,132
57,64
176,152
177,149
140,94
159,16
191,92
82,6
180,58
102,27
66,192
177,9
108,90
160,36
16,25
10,157
132,67
95,50
77,33
197,133
153,112
177,140
117,151
6,115
19,41
149,137
26,188
149,151
26,165
85,42
149,179
181,135
125,153
140,153
73,106
79,139
197,30
110,61
96,140
65,123
75,187
51,111
132,62
108,97
70,112
181,56
167,137
34,100
175,151
79,171
20,51
81,34
10,198
42,84
72,20
124,113
115,99
117,150
65,197
115,60
51,41
96,129
144,102
63,47
18,121
166,111
64,2
83,109
83,80
49,83
118,79
168,168
22,56
50,7
50,189
36,17
135,82
198,13
81,91
191,72
40,79
129,36
153,179
4,149
107,114
22,74
69,116
30,76
59,3
197,138
71,103
21,132
165,169
115,40
117,161
138,153
8,56
45,71
1,100
23,119
29,141
25,162
63,157
156,5
155,93
97,33
125,165
151,87
75,16
53,111
2,78
34,190
171,124
172,194
14,9
107,27
179,22
159,118
21,82
55,12
51,143
150,144
191,156
197,173
128,89
188,102
166,22
116,192
62,135
2,87
13,187
21,181
89,94
150,50
49,15
68,189
9,31
150,30
66,63
161,142
173,131
60,195
28,188
118,101
61,112
93,62
142,98
80,94
190,140
170,62
129,9
173,178
89,76
24,113
123,49
166,12
63,38
78,78
184,118
43,42
41,127
31,138
147,156
145,9
167,62
182,199
37,190
39,60
20,125
171,160
29,8
78,121
108,26
46,118
65,12
79,48
102,81
157,89
37,184
59,39
180,118
58,69
195,150
107,138
33,77
140,197
125,158
28,80
190,43
25,93
193,53
56,175
177,110
180,27
189,101
90,23
111,197
68,130
159,171
13,132
99,127
70,1
82,98
168,166
103,125
38,19
186,155
182,30
153,127
126,52
101,193
28,75
149,181
199,14
71,60
61,51
28,171
33,50
142,174
137,63
64,141
146,150
17,168
178,67
135,94
118,11
96,75
6,34
174,114
137,135
21,68
173,68
102,47
108,115
0,65
129,16
176,22
75,177
159,172
18,64
31,98
31,156
78,125
177,125
91,8
158,133
174,148
94,190
138,68
102,96
17,70
67,27
7,142
140,14
114,122
191,186
62,160
14,105
99,53
101,93
51,63
135,63
180,107
22,21
198,101
58,163
35,193
125,99
123,184
111,113
112,63
35,153
171,23
120,40
155,82
150,14
110,197
187,189
159,17
12,102
172,119
118,177
162,67
197,129
119,56
113,174
38,74
160,132
77,183
45,1
94,190
50,53
110,24
152,82
134,47
12,114
135,95
183,168
128,35
42,68
178,147
74,81
54,23
57,191
42,123
161,43
36,95
22,133
58,166
13,130
177,51
106,73
183,124
27,121
160,14
13,177
149,50
21,22
154,141
71,44
174,125
184,164
106,89
114,190
149,101
38,167
89,160
62,156
37,59
7,196
199,97
99,173
160,137
178,107
155,61
161,146
98,111
87,60
60,178
178,97
135,117
93,119
89,64
63,131
199,77
10,25
164,101
97,194
85,60
19,112
76,42
147,110
175,21
165,17
9,101
99,26
132,66
131,68
23,56
113,109
195,68
153,38
152,107
129,184
5,183
8,24
47,91
61,117
6,14
104,91
95,56
23,20
51,165
133,74
15,158
167,94
41,16
83,58
26,17
139,19
143,144
27,47
151,39
52,119
137,163
32,167
198,11
45,167
120,9
61,13
176,85
134,170
154,109
92,74
154,64
118,126
9,72
150,56
78,55
183,29
188,161
76,64
67,103
31,158
121,185
11,56
91,17
173,63
102,188
166,51
193,76
130,13
184,152
94,35
55,192
32,199
76,172
76,45
27,131
21,112
89,157
28,148
36,124
8,170
119,123
45,152
188,52
58,31
160,67
124,176
161,193
87,133
111,184
133,116
78,5
171,181
3,24
91,32
111,12
170,115
174,30
93,46
57,192
168,77
126,43
43,93
50,118
198,40
198,10
167,136
150,60
61,99
63,40
117,157
40,155
49,99
172,37
192,185
150,195
173,95
196,156
129,68
188,76
182,78
33,34
22,93
37,66
2,13
153,46
70,77
143,48
199,114
6,68
194,105
98,58
148,125
136,150
97,0
24,79
53,42
0,178
60,168
181,49
170,88
159,195
83,105
79,173
22,52
145,47
187,175
52,0
73,40
107,95
173,149
82,38
99,132
25,164
143,107
109,175
59,90
61,194
78,12
2,159
173,146
27,93
159,34
171,144
10,59
125,8
103,18
142,105
104,129
41,14
50,144
4,105
15,170
64,145
118,82
79,56
45,95
188,120
192,98
168,180
125,154
47,128
146,15
134,182
193,12
128,146
9,166
159,70
176,69
71,133
114,77
12,192
198,2
101,75
177,3
44,97
122,173
49,9
137,48
42,176
164,174
14,45
197,104
43,107
182,141
190,21
31,91
40,26
106,152
56,34
23,180
181,86
143,134
198,37
35,69
134,198
64,77
95,25
5,84
2,18
55,83
2,122
192,26
93,96
99,83
66,117
78,166
88,170
155,158
53,18
189,115
17,47
123,82
36,149
145,45
116,87
131,107
32,191
94,148
9,42
51,107
168,15
67,80
56,14
125,189
